,Close_target
2021-07-29,1.3901
2021-07-30,1.3894333333333333
2021-07-31,1.3887666666666665
2021-08-01,1.3881
2021-08-02,1.3914
2021-08-03,1.3885
2021-08-04,1.3928
2021-08-05,1.3871
2021-08-06,1.3862
2021-08-07,1.3853
2021-08-08,1.3844
2021-08-09,1.3843
2021-08-10,1.3872
2021-08-11,1.3804
2021-08-12,1.3863
2021-08-13,1.3858666666666668
2021-08-14,1.3854333333333333
2021-08-15,1.385
2021-08-16,1.3739
2021-08-17,1.3755
2021-08-18,1.3638
2021-08-19,1.3621
2021-08-20,1.3653
2021-08-21,1.3685
2021-08-22,1.3717
2021-08-23,1.3727
2021-08-24,1.3759
2021-08-25,1.3699
2021-08-26,1.3757
2021-08-27,1.3757333333333333
2021-08-28,1.3757666666666666
2021-08-29,1.3758
2021-08-30,1.3754
2021-08-31,1.3768
2021-09-01,1.3829
2021-09-02,1.3865
2021-09-03,1.3854666666666666
2021-09-04,1.3844333333333334
2021-09-05,1.3834
2021-09-06,1.3782
2021-09-07,1.3768
2021-09-08,1.3835
2021-09-09,1.3839
2021-09-10,1.3838
2021-09-11,1.3837
2021-09-12,1.3836
2021-09-13,1.3806
2021-09-14,1.3837
2021-09-15,1.3788
2021-09-16,1.3742
2021-09-17,1.3713666666666666
2021-09-18,1.3685333333333334
2021-09-19,1.3657
2021-09-20,1.3659
2021-09-21,1.3625
2021-09-22,1.3716
2021-09-23,1.3682
2021-09-24,1.3686333333333334
2021-09-25,1.3690666666666667
2021-09-26,1.3695
2021-09-27,1.3534
2021-09-28,1.3422
2021-09-29,1.3472
2021-09-30,1.3545
2021-10-01,1.3567666666666667
2021-10-02,1.3590333333333333
2021-10-03,1.3613
2021-10-04,1.3629
2021-10-05,1.358
2021-10-06,1.3617
2021-10-07,1.3611
2021-10-08,1.3605666666666667
2021-10-09,1.3600333333333332
2021-10-10,1.3595
2021-10-11,1.3585
2021-10-12,1.3659
2021-10-13,1.3673
2021-10-14,1.3749
2021-10-15,1.3741
2021-10-16,1.3733
2021-10-17,1.3725
2021-10-18,1.3795
2021-10-19,1.3824
2021-10-20,1.3791
2021-10-21,1.3751
2021-10-22,1.3756666666666666
2021-10-23,1.3762333333333334
2021-10-24,1.3768
2021-10-25,1.3766
2021-10-26,1.3746
2021-10-27,1.3788
2021-10-28,1.3691
2021-10-29,1.3684666666666667
2021-10-30,1.3678333333333332
2021-10-31,1.3672
2021-11-01,1.3614
2021-11-02,1.3684
2021-11-03,1.3498
2021-11-04,1.3494
2021-11-05,1.3516333333333332
2021-11-06,1.3538666666666668
2021-11-07,1.3561
2021-11-08,1.3554
2021-11-09,1.3401
2021-11-10,1.3371
2021-11-11,1.3413
2021-11-12,1.3414666666666666
2021-11-13,1.3416333333333335
2021-11-14,1.3418
2021-11-15,1.3427
2021-11-16,1.348
2021-11-17,1.3488
2021-11-18,1.3452
2021-11-19,1.3433333333333333
2021-11-20,1.3414666666666666
2021-11-21,1.3396
2021-11-22,1.3374
2021-11-23,1.3325
2021-11-24,1.332
2021-11-25,1.334
2021-11-26,1.3330333333333333
2021-11-27,1.3320666666666667
2021-11-28,1.3311
2021-11-29,1.3295
2021-11-30,1.3277
2021-12-01,1.3306
2021-12-02,1.3231
2021-12-03,1.3242
2021-12-04,1.3253
2021-12-05,1.3264
2021-12-06,1.3242
2021-12-07,1.3209
2021-12-08,1.3219
2021-12-09,1.3269
2021-12-10,1.3251333333333333
2021-12-11,1.3233666666666668
2021-12-12,1.3216
2021-12-13,1.3238
2021-12-14,1.3263
2021-12-15,1.3319
2021-12-16,1.3242
2021-12-17,1.3230333333333333
2021-12-18,1.3218666666666667
2021-12-19,1.3207
2021-12-20,1.3265
2021-12-21,1.3348
2021-12-22,1.3404
2021-12-23,1.3385
2021-12-24,1.3402333333333334
2021-12-25,1.3419666666666665
2021-12-26,1.3437
2021-12-27,1.3434
2021-12-28,1.3486
2021-12-29,1.3494
2021-12-30,1.3529
